scenario,run_id,player,total_reward,EV_per_round,ROI
sim1_BS_HiLo_AC,28,BS,-255.0,-0.51,-0.255
sim1_BS_HiLo_AC,28,HiLo,-521.0,-1.042,-0.521
sim1_BS_HiLo_AC,29,AC,384.0,0.768,0.384
sim1_BS_HiLo_AC,29,BS,-165.0,-0.33,-0.165
sim1_BS_HiLo_AC,29,HiLo,-498.0,-0.996,-0.498
sim1_BS_HiLo_AC,30,AC,-16.0,-0.032,-0.016
sim1_BS_HiLo_AC,30,BS,70.0,0.14,0.07
sim1_BS_HiLo_AC,30,HiLo,-50.0,-0.1,-0.05
sim1_BS_HiLo_AC,31,AC,-608.0,-1.216,-0.608
sim1_BS_HiLo_AC,31,BS,30.0,0.06,0.03
sim1_BS_HiLo_AC,31,HiLo,114.0,0.228,0.114
sim1_BS_HiLo_AC,32,AC,-155.0,-0.31,-0.155
sim1_BS_HiLo_AC,32,BS,-135.0,-0.27,-0.135
sim1_BS_HiLo_AC,32,HiLo,249.0,0.498,0.249
sim1_BS_HiLo_AC,33,AC,170.0,0.34,0.17
sim1_BS_HiLo_AC,33,BS,175.0,0.35,0.175
sim1_BS_HiLo_AC,33,HiLo,-190.0,-0.38,-0.19
sim1_BS_HiLo_AC,34,AC,610.0,1.22,0.61
sim1_BS_HiLo_AC,34,BS,425.0,0.85,0.425
sim1_BS_HiLo_AC,34,HiLo,1231.0,2.462,1.231
sim1_BS_HiLo_AC,35,AC,-175.0,-0.35,-0.175
sim1_BS_HiLo_AC,35,BS,220.0,0.44,0.22
sim1_BS_HiLo_AC,35,HiLo,-227.0,-0.454,-0.227
sim1_BS_HiLo_AC,36,AC,-471.0,-0.942,-0.471
sim1_BS_HiLo_AC,36,BS,35.0,0.07,0.035
sim1_BS_HiLo_AC,36,HiLo,-125.0,-0.25,-0.125
sim1_BS_HiLo_AC,37,AC,-353.0,-0.706,-0.353
sim1_BS_HiLo_AC,37,BS,-515.0,-1.03,-0.515
sim1_BS_HiLo_AC,37,HiLo,179.0,0.358,0.179
sim1_BS_HiLo_AC,38,AC,209.0,0.418,0.209
sim1_BS_HiLo_AC,38,BS,-150.0,-0.3,-0.15
sim1_BS_HiLo_AC,38,HiLo,-86.0,-0.172,-0.086
sim1_BS_HiLo_AC,39,AC,412.0,0.824,0.412
sim1_BS_HiLo_AC,39,BS,20.0,0.04,0.02
sim1_BS_HiLo_AC,39,HiLo,-394.0,-0.788,-0.394
sim1_BS_HiLo_AC,40,AC,-199.0,-0.398,-0.199
sim1_BS_HiLo_AC,40,BS,-335.0,-0.67,-0.335
sim1_BS_HiLo_AC,40,HiLo,-124.0,-0.248,-0.124
sim1_BS_HiLo_AC,41,AC,342.0,0.684,0.342
sim1_BS_HiLo_AC,41,BS,-195.0,-0.39,-0.195
sim1_BS_HiLo_AC,41,HiLo,-231.0,-0.462,-0.231
sim1_BS_HiLo_AC,42,AC,228.0,0.456,0.228
sim1_BS_HiLo_AC,42,BS,-210.0,-0.42,-0.21
sim1_BS_HiLo_AC,42,HiLo,179.0,0.358,0.179
sim1_BS_HiLo_AC,43,AC,485.0,0.97,0.485
sim1_BS_HiLo_AC,43,BS,345.0,0.69,0.345
sim1_BS_HiLo_AC,43,HiLo,206.0,0.412,0.206
sim1_BS_HiLo_AC,44,AC,86.0,0.172,0.086
sim1_BS_HiLo_AC,44,BS,0.0,0.0,0.0
sim1_BS_HiLo_AC,44,HiLo,70.0,0.14,0.07
sim1_BS_HiLo_AC,45,AC,-636.0,-1.272,-0.636
sim1_BS_HiLo_AC,45,BS,-260.0,-0.52,-0.26
sim1_BS_HiLo_AC,45,HiLo,-718.0,-1.436,-0.718
sim1_BS_HiLo_AC,46,AC,-213.0,-0.426,-0.213
sim1_BS_HiLo_AC,46,BS,-255.0,-0.51,-0.255
sim1_BS_HiLo_AC,46,HiLo,-636.0,-1.272,-0.636
sim1_BS_HiLo_AC,47,AC,-160.0,-0.32,-0.16
sim1_BS_HiLo_AC,47,BS,-430.0,-0.86,-0.43
sim1_BS_HiLo_AC,47,HiLo,-382.0,-0.764,-0.382
sim1_BS_HiLo_AC,48,AC,-10.0,-0.02,-0.01
sim1_BS_HiLo_AC,48,BS,-125.0,-0.25,-0.125
sim1_BS_HiLo_AC,48,HiLo,294.0,0.588,0.294
sim1_BS_HiLo_AC,49,AC,735.0,1.47,0.735
sim1_BS_HiLo_AC,49,BS,165.0,0.33,0.165
sim1_BS_HiLo_AC,49,HiLo,657.0,1.314,0.657
sim1_BS_HiLo_AC,50,AC,-335.0,-0.67,-0.335
sim1_BS_HiLo_AC,50,BS,30.0,0.06,0.03
sim1_BS_HiLo_AC,50,HiLo,606.0,1.212,0.606
sim1_BS_HiLo_AC,51,AC,549.0,1.098,0.549
sim1_BS_HiLo_AC,51,BS,195.0,0.39,0.195
sim1_BS_HiLo_AC,51,HiLo,376.0,0.752,0.376
sim1_BS_HiLo_AC,52,AC,235.0,0.47,0.235
sim1_BS_HiLo_AC,52,BS,15.0,0.03,0.015
sim1_BS_HiLo_AC,52,HiLo,-506.0,-1.012,-0.506
