scenario,run_id,player,final_chips
sim1_BS_HiLo_AC,1,AC,1047.0
sim1_BS_HiLo_AC,1,BS,1260.0
sim1_BS_HiLo_AC,1,HiLo,1163.0
sim1_BS_HiLo_AC,2,AC,1248.0
sim1_BS_HiLo_AC,2,BS,1090.0
sim1_BS_HiLo_AC,2,HiLo,2088.0
sim1_BS_HiLo_AC,3,AC,1020.0
sim1_BS_HiLo_AC,3,BS,1485.0
sim1_BS_HiLo_AC,3,HiLo,790.0
sim1_BS_HiLo_AC,4,AC,1499.0
sim1_BS_HiLo_AC,4,BS,1130.0
sim1_BS_HiLo_AC,4,HiLo,1060.0
sim1_BS_HiLo_AC,5,AC,881.0
sim1_BS_HiLo_AC,5,BS,1055.0
sim1_BS_HiLo_AC,5,HiLo,2029.0
sim1_BS_HiLo_AC,6,AC,1389.0
sim1_BS_HiLo_AC,6,BS,475.0
sim1_BS_HiLo_AC,6,HiLo,894.0
sim1_BS_HiLo_AC,7,AC,855.0
sim1_BS_HiLo_AC,7,BS,1030.0
sim1_BS_HiLo_AC,7,HiLo,860.0
sim1_BS_HiLo_AC,8,AC,539.0
sim1_BS_HiLo_AC,8,BS,1065.0
sim1_BS_HiLo_AC,8,HiLo,1146.0
sim1_BS_HiLo_AC,9,AC,1265.0
sim1_BS_HiLo_AC,9,BS,1025.0
sim1_BS_HiLo_AC,9,HiLo,1496.0
sim1_BS_HiLo_AC,10,AC,879.0
sim1_BS_HiLo_AC,10,BS,1260.0
sim1_BS_HiLo_AC,10,HiLo,1309.0
sim1_BS_HiLo_AC,11,AC,1464.0
sim1_BS_HiLo_AC,11,BS,1430.0
sim1_BS_HiLo_AC,11,HiLo,1034.0
sim1_BS_HiLo_AC,12,AC,941.0
sim1_BS_HiLo_AC,12,BS,695.0
sim1_BS_HiLo_AC,12,HiLo,853.0
sim1_BS_HiLo_AC,13,AC,473.0
sim1_BS_HiLo_AC,13,BS,605.0
sim1_BS_HiLo_AC,13,HiLo,638.0
sim1_BS_HiLo_AC,14,AC,1305.0
sim1_BS_HiLo_AC,14,BS,900.0
sim1_BS_HiLo_AC,14,HiLo,2142.0
sim1_BS_HiLo_AC,15,AC,894.0
sim1_BS_HiLo_AC,15,BS,1170.0
sim1_BS_HiLo_AC,15,HiLo,1242.0
sim1_BS_HiLo_AC,16,AC,655.0
sim1_BS_HiLo_AC,16,BS,790.0
sim1_BS_HiLo_AC,16,HiLo,952.0
sim1_BS_HiLo_AC,17,AC,1485.0
sim1_BS_HiLo_AC,17,BS,840.0
sim1_BS_HiLo_AC,17,HiLo,1207.0
sim1_BS_HiLo_AC,18,AC,945.0
sim1_BS_HiLo_AC,18,BS,850.0
sim1_BS_HiLo_AC,18,HiLo,1507.0
sim1_BS_HiLo_AC,19,AC,487.0
sim1_BS_HiLo_AC,19,BS,705.0
sim1_BS_HiLo_AC,19,HiLo,911.0
sim1_BS_HiLo_AC,20,AC,1130.0
sim1_BS_HiLo_AC,20,BS,1335.0
sim1_BS_HiLo_AC,20,HiLo,1045.0
sim1_BS_HiLo_AC,21,AC,827.0
sim1_BS_HiLo_AC,21,BS,1100.0
sim1_BS_HiLo_AC,21,HiLo,1340.0
sim1_BS_HiLo_AC,22,AC,1382.0
sim1_BS_HiLo_AC,22,BS,1005.0
sim1_BS_HiLo_AC,22,HiLo,997.0
sim1_BS_HiLo_AC,23,AC,300.0
sim1_BS_HiLo_AC,23,BS,1055.0
sim1_BS_HiLo_AC,23,HiLo,667.0
sim1_BS_HiLo_AC,24,AC,1384.0
sim1_BS_HiLo_AC,24,BS,1045.0
sim1_BS_HiLo_AC,24,HiLo,1946.0
sim1_BS_HiLo_AC,25,AC,687.0
sim1_BS_HiLo_AC,25,BS,1025.0
sim1_BS_HiLo_AC,25,HiLo,1371.0
sim1_BS_HiLo_AC,26,AC,1344.0
sim1_BS_HiLo_AC,26,BS,945.0
sim1_BS_HiLo_AC,26,HiLo,1380.0
sim1_BS_HiLo_AC,27,AC,1127.0
sim1_BS_HiLo_AC,27,BS,1400.0
sim1_BS_HiLo_AC,27,HiLo,1602.0
sim1_BS_HiLo_AC,28,AC,1007.0
sim1_BS_HiLo_AC,28,BS,745.0
sim1_BS_HiLo_AC,28,HiLo,479.0
sim1_BS_HiLo_AC,29,AC,1384.0
sim1_BS_HiLo_AC,29,BS,835.0
sim1_BS_HiLo_AC,29,HiLo,502.0
sim1_BS_HiLo_AC,30,AC,984.0
sim1_BS_HiLo_AC,30,BS,1070.0
sim1_BS_HiLo_AC,30,HiLo,950.0
sim1_BS_HiLo_AC,31,AC,392.0
sim1_BS_HiLo_AC,31,BS,1030.0
sim1_BS_HiLo_AC,31,HiLo,1114.0
sim1_BS_HiLo_AC,32,AC,845.0
sim1_BS_HiLo_AC,32,BS,865.0
sim1_BS_HiLo_AC,32,HiLo,1249.0
sim1_BS_HiLo_AC,33,AC,1170.0
sim1_BS_HiLo_AC,33,BS,1175.0
sim1_BS_HiLo_AC,33,HiLo,810.0
sim1_BS_HiLo_AC,34,AC,1610.0
sim1_BS_HiLo_AC,34,BS,1425.0
sim1_BS_HiLo_AC,34,HiLo,2231.0
sim1_BS_HiLo_AC,35,AC,825.0
sim1_BS_HiLo_AC,35,BS,1220.0
sim1_BS_HiLo_AC,35,HiLo,773.0
sim1_BS_HiLo_AC,36,AC,529.0
sim1_BS_HiLo_AC,36,BS,1035.0
