episode,EV,states,epsilon
1,-10.526107325983066,12078,0.9970087504549047
1001,-10.635087135087137,12078,0.9940264484836504
2001,-16.87950103379208,12078,0.991053067321811
3001,-9.518802427828769,12078,0.9880885802850192
4001,-11.456338497417956,12078,0.9851329607687278
5001,-9.953233243242579,12079,0.9821861822479699
6001,-10.281167437452433,12079,0.9792482182771218
7001,-14.481308786616367,12079,0.976319042489665
8001,-10.435993052223623,12079,0.9733986285979498
9001,-10.632375736212001,12079,0.9704869503929597
10001,-10.645814027410635,12079,0.9675839817440759
11001,-11.460079560389158,12079,0.9646896965988424
12001,-12.073551534092108,12079,0.961804068982733
13001,-8.720270544434637,12079,0.9589270729989176
14001,-12.57672079907738,12079,0.95605868282803
15001,-10.918195195618429,12079,0.9531988727279361
16001,-10.678527828186013,12079,0.9503476170335033
17001,-12.908776501768813,12080,0.9475048901563694
18001,-10.56109692116089,12080,0.9446706665847135
19001,-10.059503544034346,12081,0.9418449208830271
20001,-11.530989410817847,12081,0.9390276276918854
21001,-12.386650529459498,12081,0.9362187617277201
22001,-8.3986513385046,12081,0.9334182977825923
23001,-8.991473502755241,12082,0.9306262107239665
24001,-13.622142886247733,12082,0.9278424754944846
25001,-10.364696292931587,12082,0.9250670671117416
26001,-10.84433803788377,12082,0.9222999606680609
27001,-10.716243061912479,12082,0.919541131330271
28001,-9.302973103520616,12082,0.916790554339483
29001,-8.49812152907057,12082,0.9140482050108673
30001,-10.004265878684484,12082,0.9113140587334333
31001,-12.354131717501815,12082,0.908588090969808
32001,-11.465140116231911,12082,0.9058702772560155
33001,-10.89315624057274,12082,0.9031605932012581
34001,-8.541279090885388,12082,0.9004590144876968
35001,-11.325274764522595,12083,0.8977655168702335
36001,-9.108548846353461,12083,0.8950800761762931
37001,-7.933498426456173,12083,0.8924026683056069
38001,-7.900662046970896,12083,0.8897332692299958
39001,-9.59355553375941,12083,0.8870718549931554
40001,-11.103956612045007,12083,0.8844184017104403
41001,-7.751411374193479,12083,0.88177288556865
42001,-9.241229515375338,12083,0.8791352828258153
43001,-8.88259343190627,12084,0.8765055698109854
